date,link,text,also_available_in
11 Dec 2023,https://www.dpsa.gov.za/documents/media_statements/Media%20Release_11_12_2023.pdf,The presidency and the public service ministry to launch the APRM second generation country review report,[]
05 Dec 2023,https://www.dpsa.gov.za/documents/media_statements/Media_Advisory_05_12_2023.pdf,The ministry for the public service and administration will lead build-up activities in Lejweleputswa district municipality ahead of the Free State district development model presidential imbizo,[]
29 Nov 2023,https://www.dpsa.gov.za/documents/media_statements/media_statement_29_11_2023.pdf,Government takes strong measures to prevent public servants conducting business with the state,[]
29 Nov 2023,https://www.dpsa.gov.za/documents/media_statements/media_statement_29_11_2023_2.pdf,Minister Kiviet's UNESCO opening ceremony address on transformation and accountability,[]
27 Nov 2023,https://www.dpsa.gov.za/documents/media_statements/Media%20Statement_27_11_2023.pdf,Minister Noxolo Kiviet to participate in UNESCO global forum against racism and discrimination,[]
13 Nov 2023,https://www.dpsa.gov.za/documents/media_statements/Media_Advisory_13_11_2023.pdf,Public service and administration deputy minister Dr Chana Pilane-Majake to engage stakeholders in the community of Hammanskraal,[]
25 Oct 2023,https://www.dpsa.gov.za/documents/media_statements/Media%20Advisory%2026-10-2023.pdf,Launch of the public service amendment regulations - Enhancing professionalism and service delivery in the public service,[]
15 Oct 2023,https://www.dpsa.gov.za/documents/media_statements/media_statement_15_10_2023.pdf,Public service and administration deputy minister Dr Chana Pilane-Majake to conduct unannounced visits to government service sites,[]
02 Oct 2023,https://www.dpsa.gov.za/documents/media_statements/media_statement_02_10_2023.pdf,Minister Noxolo District Development Model Engagement and Catalytic Projects in Frances Baard District Municipality,[]
27 Sep 2023,https://www.dpsa.gov.za/documents/media_statements/Media_advisory_26_09_2023.pdf,DPSA and Mpumalanga province host Inter-departmental Sport Day and the Health and Wellness Indaba,[]
14 Sep 2023,https://www.dpsa.gov.za/documents/media_statements/Media_statement_14_09_2023.pdf,Response from the department of public service and administration regarding judgment J1133-2023,[]
17 Aug 2023,https://www.dpsa.gov.za/documents/media_statements/media_statement_17_08_2023.pdf,Deputy Minister Dr Chana Pilane-Majake to Host Women's Month Breakfast Dialogue,[]
02 Aug 2023,https://www.dpsa.gov.za/documents/media_statements/media_statement_02_08_2023.pdf,DPSA interventions to address long suspensions and public servants on long-term sick leave,"[{'isiZulu': 'https://www.dpsa.gov.za/documents/media_statements/media_statement_02_08_2023_isizulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/media_statements/media_statement_02_08_2023_Setswana.pdf'}]"
13 Jul 2023,https://www.dpsa.gov.za/documents/media_statements/Minister%20Kiviet%2013%20JULY%202023.pdf,Minister Kiviet outlines the goals of professionalisation of the public service,[]
05 Apr 2023,https://www.dpsa.gov.za/newsrooms/media%20statement%2005%2003%202023.pdf,DPSA regrets the erroneous ITWeb report on its ICT tender,[]
31 Mar 2023,https://www.dpsa.gov.za/newsrooms/31%20%20March%202023%20Media%20Statement%20Government.pdf,Government concludes 2023/24 wage negotiations with majority unions at PSCBC,[]
30 Mar 2023,https://www.dpsa.gov.za/newsrooms/30%20%20March%202023%20Media%20Statement%20Government%20Wage%20Negotiations.pdf,Government tables the last and final offer at PSCBC,[]
07 Mar 2023,https://www.dpsa.gov.za/documents/media_statements/CIRCULAR%20NO%2005%20OF%202023%20TO%20NATIONAL%20AND%20PROVINCIAL%20DEPARTMENTS%20ON%20THE%20LEAVE%20TO%20EXECUTE%20THE%20ORDER.pdf,Replacement of circular no: 04 of 2023: NEHAWU section 64 (1) (d) of the labour relations act notice to strike set aside by the labour court and the intended strike interdicted,[]
07 Mar 2023,https://www.dpsa.gov.za/documents/media_statements/Geordin-Hill-Lewis-Old-Video-Statement-2-Mar-2023-1.pdf,2020 video by Mr. Geordin Hill-Lewis about GEPF plan to bail out ESKOM recirculating on social media,[]
16 Feb 2023,https://www.dpsa.gov.za/documents/media_statements/Media%20Statement%20Public%20Sector%20Unions%2016%20Feb%202023.pdf,Minister Nxesi commends Public Sector Unions that have resolved to remain to participate within the PSCBC,[]
17 Jan 2023,https://www.dpsa.gov.za/documents/ogp/5th%20National%20Action%20Plan%202023-26.pdf,Reviving the OGP Process in South Africa OGP 5th National Action Plan 2023-2026,[]
17 Jan 2023,https://www.dpsa.gov.za/documents/ogp/Annexure%20E%20-%20High%20Level%20NPoA%20-%202022%20(Updated).pdf,High level summary of the national plan of action (NPoA) 2022-2025,[]
23 Nov 2022,https://www.dpsa.gov.za/documents/CIRCULAR%2058%20-Section%2077%20COSATU-SAFTU.pdf,Section 77 protest action: A national stay-away or socio-economic strike from 18:00 on 01 December 2022 to 23:59 on 02 December 2022,[]
08 Nov 2022,https://www.dpsa.gov.za/documents/media_statements/MEDIA%20STATEMENT%20WAGE%20NEGOTIATIONS%20UPDATE.pdf,Update on 2022/23 public service wage negotiations,[]
03 Nov 2022,https://www.dpsa.gov.za/documents/media_statements/Media%20Advisory%20-%20State%20CapacIty%20Conference%203%2011%202022.pdf,"Review conference on government capacity, 7-9 November 2022",[]
01 Nov 2022,https://www.dpsa.gov.za/documents/media_statements/psa%20strike%20action%202%2011%202022.pdf,PSA section 64 (1) (d) of the labour relations act notice to strike: PSCBC 2022/23 wage negotiations,[]
28 Oct 2022,https://www.dpsa.gov.za/documents/speeches/Launch%20of%20the%20PSETA-TUT%20Future%20of%20Work%20in%20the%20Public%20Sector%20Institute%2028%20October%202022.pdf,Launch of the PSETA-TUT - Future of work in the public sector institute,[]
28 Oct 2022,https://www.dpsa.gov.za/documents/speeches/Keynote%20Address%20PSETA-TUT%20Future%20of%20Work%20launch%2028_10_2022.pdf,Keynote Address: Launch of the PSETA-TUT – Partnership on the future of work in the public service sector,[]
21 Oct 2022,https://www.dpsa.gov.za/documents/media_statements/GEPF%20Annual%20Report%20Media%20Statement%20-%20October%202022%20Final%20PDF%20.pdf,The GEPF continues positive growth with a 9.6% year-on-year growth with record market value of R 2.3 trillion,[]
16 Sep 2022,https://www.dpsa.gov.za/documents/media_statements/Media%20Advisory%20-%20launch%20of%20Ethics%20Week%202022.pdf,Public service ethics week: Deputy Minister Pilane-Majake to share update on government’s effort to promote ethical conduct in the public service,[]
14 Sep 2022,https://www.dpsa.gov.za/documents/media_statements/Media%20Advisory%20Batho%20Pele%20Indaba%20IPSM%202022.pdf,IPSM Indaba to unveil the revised Batho Pele revitalisation strategy,[]
07 Sep 2022,https://www.dpsa.gov.za/documents/media_statements/Media%20Statement%207%2009%202022.pdf,DPSA Director-General welcomes yet another clean audit,[]
07 Sep 2022,https://www.dpsa.gov.za/documents/media_statements/Media%20Statement%207%2009%202022%20II.pdf,Call for Academic Abstracts on state capacity and government performance in the 10 years of NDP,[]
31 Aug 2022,https://www.dpsa.gov.za/documents/media_statements/Media%20Advisory%20IPSM%202022%20Final.pdf,Acting Minister Nxesi to launch the Integrated Public Service Month,[]
22 Aug 2022,https://www.dpsa.gov.za/documents/COSATU%20SAFTU%20NAtional%20Strike%20action%20%20Circular%2022_08_2022.pdf,Section 77 protest action: A national stay-away or socio-economic strike from 18:00 on 23 August 2022 to 24 August 2022,[]
15 Aug 2022,https://www.dpsa.gov.za/documents/media_statements/Wage%20Negotiations%20PSA%20Statement.pdf,PSA public misinformation campaign regarding the role of the Minister of Finance in the current round of wage negotiations,[]
12 Jul 2022,https://www.dpsa.gov.za/documents/media_statements/BRICS%20Meeting%20%20Media%20Advisory%2013%2007%202022.pdf,"Deputy minister for the public service and administration, Dr Chana Pilane-Majake to participate on BRICS anti-corruption meeting",[]
30 Jun 2022,https://www.dpsa.gov.za/documents/media_statements/MEDIA%20ADVISORY-%20FUTURE%20OF%20WORK%20AMBASSADORS%20-%2030%20June%202022.pdf,UPDATE: Acting Minister Nxesi to unveil the Future of Work Ambassadors Programme for young graduates,[]
24 Jun 2022,https://www.dpsa.gov.za/documents/media_statements/MEDIA%20ADVISORY-%20FUTURE%20OF%20WORK%20AMBASSADORS%20-%2024%20June%202022.pdf,Government in joint venture unveils Future of Work Ambassadors Programme for young graduates,[]
21 Jun 2022,https://www.dpsa.gov.za/documents/media_statements/APSD%20Dialogue%20-Media%20Advisory%2021%20June%202022.pdf,Dialogue on sharing of good practices in the public service to enhance service delivery,[]
21 Jun 2022,https://www.dpsa.gov.za/documents/media_statements/Media%20Advisory%20APSD%20Commemoration%2023%20June%202022.pdf,Africa Public Service Day to 2022 focus on strengthening fight against malnutrition,[]
17 Jun 2022,https://www.dpsa.gov.za/documents/media_statements/APSD%20Launch%20Media%20Advisory.pdf,Deputy Minister Pilane-Majake to launch the 2022 Africa Public Service Week,[]
17 Jun 2022,https://www.dpsa.gov.za/documents/media_statements/APSD%202022%20Media%20Statement.pdf,South Africa commemorates Africa Public Service Day,[]
10 Jun 2022,https://www.dpsa.gov.za/documents/media_statements/MEDIA%20ADVISORY%20-%20CLEAN%20UP%20CAMPAIGN%20IN%20ZANDSPRUIT.pdf,Deputy Minister Pilane-Majake calls for residents to join in a Clean-Up Campaign in Zandspruit,[]
08 Jun 2022,https://www.dpsa.gov.za/documents/media_statements/DPSA%20Condemns%20threats%20%20levelled%20at%20DG%20Presidency.pdf,DPSA expresses concern in the wake of threats levelled against the Director General in The Presidency and supports her in the work she is doing,[]
09 May 2022,https://www.dpsa.gov.za/documents/media_statement_07_05_2022.pdf,Only shortlisted job seekers in government required to submit certified copies of qualifications,[]
11 Mar 2022,https://www.dpsa.gov.za/documents/ms_11_03_2022.pdf,Future of work and regulations review indaba,[]
28 Feb 2022,https://www.dpsa.gov.za/documents/Constitutional%20Court%20Judgment%20Media%20Statement%2028%2002%202022.pdf,Constitutional court ruling: Clause 3.3 of PSCBC resolution 1 of 2018,[]
12 Nov 2021,https://www.dpsa.gov.za/newsrooms/Public%20servants%20sentenced%20for%20conducting%20business%20with%20the%20state.pdf,Public servants sentenced for conducting business with the state,[]
