date,link,text,also_available_in
29 Nov 2023,https://www.dpsa.gov.za/documents/speeches/speech_29_11_2023.pdf,Minister Kiviet's UNESCO opening ceremony address on transformation and accountability,[]
28 Nov 2023,https://www.dpsa.gov.za/documents/speeches/speech_28_11_2023.pdf,Address by deputy minister Dr Chana Pilane-Majake on the occasion of the 6th annual Bertha Gxowa foundation memorial lecture,[]
22 Nov 2023,https://www.dpsa.gov.za/documents/speeches/speech_22_11_2023.pdf,"Deputy minister stakeholder engagement Emalahleni local municipality, Nkangala District, Mpumalanga Province",[]
12 Oct 2023,https://www.dpsa.gov.za/documents/speeches/speech_12_10_2023.pdf,Minister N. Kiviet keynote adress on public service reform towards professionalisation,"[{'isiNdebele': 'https://www.dpsa.gov.za/documents/speeches/speech_12_10_2023 IsiNdebele.pdf', 'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_12_10_2023 IsiZulu.pdf'}]"
25 Sep 2023,https://www.dpsa.gov.za/documents/speeches/speech_25_09_2023.pdf,Minister N. Kiviet address at South African association of public administration and management 22nd annual conference,"[{'isiNdebele': 'https://www.dpsa.gov.za/documents/speeches/speech_25_09_2023_IsiNdebele.pdf', 'Tshivenda': 'https://www.dpsa.gov.za/documents/speeches/speech_25_09_2023_TshiVenda.pdf'}]"
13 Sep 2023,https://www.dpsa.gov.za/documents/speeches/speech_13_09_2023.pdf,Speech by Deputy Minister Dr Chana Pilane-Majake 13 September 2023 at the annual ethics officers forum,"[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_13_09_2023 IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_13_09_2023 Setswana.pdf'}]"
01 Sep 2023,https://www.dpsa.gov.za/documents/speeches/speech_01_09_2023.pdf,The launch of the public service month,"[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_01_09_2023_IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_01_09_2023_Setswana.pdf'}]"
28 Aug 2023,https://www.dpsa.gov.za/documents/speeches/speech_28_August_2023.pdf,"Deputy minister speaking notes, 2023 Public service women leadership retreat","[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_28_08_2023_IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_28_08_2023_Setswana.pdf'}]"
19 Aug 2023,https://www.dpsa.gov.za/documents/speeches/speech_19_08_2023.pdf,Minister N. Kiviet speech at the BRICS seminar on governance and BRICS forum on people – to- people exchanges,"[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_19_08_2023_IsiZulu .pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_19_08_2023_Setswana.pdf'}]"
12 Aug 2023,https://www.dpsa.gov.za/documents/speeches/speech_12_08_2023.pdf,"G20 anti-corruption ministers meeting, Kolkata, India by deputy minister for public service and administration, dr Chana Pilane-Majake","[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_12_August_2023_IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_21_08_2023_Setswana.pdf'}]"
10 Aug 2023,https://www.dpsa.gov.za/documents/speeches/speech_10_August_2023.pdf,"Remarks by the Hon. Ms. Noxolo Kiviet, MP, Minister for the Public Service and Administration at the Middelburg, Eastern Cape Province Community Outreach","[{'isiZulu': 'https://www.dpsa.gov.za/documents/speeches/speech_10_August_2023_IsiZulu.pdf', 'Setswana': 'https://www.dpsa.gov.za/documents/speeches/speech_10_08_2023_Setswana.pdf'}]"
23 Jul 2023,"https://www.dpsa.gov.za/documents/speeches/Outreach%20Visit%20on%20Integrated%20Service%20Delivery%20in%20the%20Gamtoots%20Valley,%20EC.pdf",Minister Kiviet’s outreach visit to focus on integrated service delivery in the Gamtoots valley of the Eastern Cape Province,[]
