link,reference_no,directorate,no_of_posts,package,enquiries,requirements,duties,notes,employer,location,closing_date,criteria_question,please_note
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX43IygpHQcZEw==,refs/019472,MEDICAL ONCOLOGY,1,R 906 540 per annum plus benefits,Dr. RM Khanyile- 012 354 1054,Appropriate qualification that allows registration with the HPCSA as a Medical Officer. Appropriate computer literacy. Willingness to do clinical research.,"Ward rounds, outpatients clinics, Lectures. Must participate in clinical research.","Applications should be submitted strictly online at the following E-Recruitment portal: http://professionaljobcenter.gpg.gov.za. No hand-delivered, faxed or emailed applications will be accepted. NB: For assistance with online applications please email your query to e-recruitment@gauteng.gov.za. Application should be accompanied by a fully completed and signed new Z83 application form obtainable from any Public Service Department or on the internet at www.dpsa.gov.za/documents plus a recently updated comprehensive Curriculum Vitae (CV). Applications without proof of a new Z83 application form and detailed CV will be disqualified. Applicants must indicate the post reference number on their applications. (Shortlisted candidates will receive communication from HR to submit certified copies of educational qualifications and other relevant documents not older than 6 months on or before the day of the interview). It is the applicant’s responsibility to have foreign qualifications evaluated by the South African Qualifications Authority (SAQA). All foreign qualification must be accompanied by evaluation certificate from the South African Qualification Authority (SAQA). Correspondence will only be limited to shortlisted candidates. Suitable candidates will be subjected to vetting and personnel pre-employment suitability checks (criminal record, citizenship, credit record checks, qualification verification and employment verification). Where applicable, candidates will be subjected to a skills/knowledge test. Medical Surveillance will be conducted on the recommended candidates. It is Department’s intention to promote representivity (race, gender, and disability) in the Public Service through the filling of these posts. The Department reserves the right not to appoint/fill this post. NB: The Public Service does not charge any fees for applying for posts. Should you be asked for a fee, please let the authorities know. PEOPLE WITH DISABILITY ARE ENCOURAGED TO APPLY.",Department of Health,STEVE BIKO ACADEMIC HOSPITAL,05-01-2024,"['Do you have an MBCHB?', 'Are you registered with the HPCSA as an Independent Medical Practitioner?']","Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX6uzBRlc4752A==,refs/019486,Periodontics and Oral Medicine,1,"R906, 540.00-R947 046.00 (All-inclusive package)",Prof RAG Khammissa Tel No: 012 319 2651,"A BChD/BDS degree and currently registered with the HPCSA as a Dentist in the category: independent practice. A minimum of two years' experience as a general Dental practitioner after completing community service. Completion of at least two primary subjects necessary to specialize in Periodontology and Oral Medicine. Anatomy, Physiology, Anatomical, Pathology and Oral Biology).

Recommendation: A post graduate Diploma or a Master of Science in Dentistry ( preferably in the field of Periodontics, Oral Medicine or Implantology). 
                              Experience in research, teaching and undergraduate student Clinical supervision will be an added advantage.","The candidate will be expected to carry out all responsibilities and requirements necessary for the completion of the MChD degree in Periodontics and Oral Medicine. The duties including teaching and supervision of undergraduate students, service rendering and any other activities that may be assigned by the Head of the Department.","No faxed or email applications will be considered. Fully completed new Z83 and detailed Curriculum Vitae with minimum of at least three (3) referees. Applications can be hand delivered to Human Resource Management at Louise Botha A Building.  Only shortlisted candidates will be required/ requested to submit certified copies of qualifications and other relevant documents to HR on or before the day of the interview. Applications must be submitted timeously, applications received after closing date will not be accepted. The Department reserves the right not to make appointment. Candidates will be expected to be available for selection interviews on the date and time and place determined by the Department. Correspondence will be limited to shortlisted candidates only, if you have not heard from us within 3 months of closing date, please accept that your application has been unsuccessful.",Department of Health,University of Pretoria Oral Health Centre,05-01-2024,[],"Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX7Tyxx5YQ3CVw==,refs/019500,MEDICAL SERVICES,1,"Grade 1 R 436 (per hour), maximum 80 hours per month 		 Grade 2 R R 498.00 (per hour), maximum 80 hours per month 		 Grade 3 R 576.00 (per hour), maximum 80 hours per month",Dr. R Tshivhase,"REQUIREMENTS:	Grade I Appropriate qualification that allows for registration with HPCSA as a Medical Officer. Registration with the HPCSA as Medical Officer. No experience required after registration with the HPCSA as Medical Practitioner. Grade II Appropriate qualification that allows for registration with the HPCSA as Medical Officer. Registration with the HPCSA as Medical Officer. A minimum of 5 years’ appropriate experience as Medical Officer after registration with the HPCSA as Medical Practitioner.
Grade III Appropriate qualification that allows for registration with the HPCSA as Medical Officer. Registration with the HPCSA as Medical Officer. A minimum of 10 years’ appropriate experience as Medical Officer after registration with the HPCSA as Medical Practitioner.","Render radiological duties – inpatient and outpatient; normal and after-hours. Render cost effective medical care, incorporating radiological management and follow-up. Maintain radiology records. Undertake on-going Medical Education and Professional Development. Suggest alternative medical imaging where necessary. Interpreting results and writing reports for CT, ultrasound, fluoroscopy and Plain Films. Communicate and discuss results and Diagnosis with Clinicians","Applications must be submitted on the new Z83 form. The application form is obtainable from any Public Service Department or on the internet at www.dpsa.gov.za/documents. The new Z83 must be fully completed (please refer on the left side of Z83 special notes for clarity), it must be initialled and signed. On the Z83 application form the Department where position was advertised it should state Department of Health (Thelle Mogoerane Regional Hospital). According to Department of Public Service and Administration (DPSA) Circular 19 of 2022, applicants are not required to submit copies of qualifications, service certificate and other relevant documents on application but must submit a fully completed Z83 and a detailed Curriculum Vitae. The Curriculum Vitae should be recently updated that specifies the following: experience that should be in a chronological order indicating the position, institution and respective dates indicating the starting and ending period (DD/MM/YYYY). The information on the new Z83 must be in sync with the Curriculum Vitae. Only shortlisted candidates will be required/requested to submit certified copies of qualifications, service certificate, other relevant documents on or before the interview and candidates in possession of a foreign qualification will be required to furnish the Department with an evaluation certificate from the South African Qualifications Authority (SAQA). Personnel Suitability Checks (PSC) –Verification (Reference checks- Provide at least 3 off which one must be immediate supervisor, the Department shall reserve the right to conduct verification beyond names provided, where necessary. Failure to submit all the relevant information preceding the statement above will result in disqualifying the candidate. Identity verification, qualifications verification, criminal record checks, credit/financial stability checks and employment verification. If you have not been contacted within three (3) months after the closing date, please accept that your application was unsuccessful. The recommended candidate may be subjected to medical surveillance as required by the Occupational Health and Safety Act, Act 5/1993. Candidates will be expected to be available for selection interviews on the date, time and place determined by the Department. TMRH reserves the right to utilize practical exercises/tests for non-SMS positions during the recruitment process to determine the suitability of candidates for the post(s). The Department reserve the right not to fill the post. The Gauteng Department of Health is guided by the principles of Employment Equity. People with disabilities are encouraged to apply. Please Note: The Public Service does not charge any fees for applying for posts.  Applications should be submitted to Thelle Mogoerane Regional Hospital, 12390 Nguza Street, ext. 14, Vosloorus, 1475",Department of Health,THELLE MOGOERANE REGIONAL HOSPITAL,19-01-2024,[],"Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX7ewOdpMsMB7w==,refs/019513,OBSTETRICS AND GYNAECOLOGY,1,Grade 1: R 1 214 805 - R 1 288 095 per annum (All-inclusive package) Grade 2: R 1 386 069 – R 1 469 883 per annum (All-inclusive package) Grade 3: R 1 605 330 – R 2 001 927 per annum (All-inclusive package),Dr Amy Wise - amy.wise@wits.ac.za 011 470 9090,"Appropriate qualification that allows registration with the HPCSA as a Medical Specialist in Obstetrics and Gynaecology or recognized sub-speciality. Registration with the HPCSA as a Medical Specialist in Obstetrics and Gynaecology and proof of current registration. 

Grade 1: No experience required after registration with the HPCSA as Medical Specialist in Obstetrics and
               Gynaecology. 
Grade 2: A minimum of 5 years appropriate experience as Medical Specialist after registration with the 
               HPCSA as Medical Specialist in a normal Speciality. 
Grade 3: A minimum of 10 years appropriate experience as Medical Specialist after registration with the 
               HPCSA as Medical Specialist in a normal Speciality.","Strengthen obstetric and gynaecological health services in the institution. Promote clinical effectiveness in all facilities. Primarily support district hospitals with all aspects of service delivery related to obstetrics and gynaecology. Secondarily support clinics, community health centres and primary health care outreach teams, including engaging private sector obstetricians and gynaecologists with service delivery related matters. Facilitate and participate in the training, development, and mentorship of under-and post graduate medical. Work with the district management Team to establish and maintain systems including surveillance, health information, communication and referral guidelines and processes to support the delivery of obstetrics and gynaecological services. Initiate, support and participate in clinical audit and quality improvement cycles with specific focus on obstetrics and gynaecological assessments. Implement effective monitoring and evaluation processes, effective use of data and appropriate reporting on outputs and health outcomes. Initiate, support, or participate in relevant research. This may require involvement with local academic training institutions. Foster effective teamwork and collaboration within the DCST. Enable engagement with the local community, relevant non-government organisations and private providers. Facilitate and ensure effective communication with all management structures within the district, the regional and regular reports on activities and initiatives to save mothers, babies, and children. Assist with strategic and operational planning of services in the district and/or catchment area of the regional hospital. Assist with the coordination and supervision of obstetrics and gynaecological services with the district and management of relevant human resources. Assist with recruitment.","Applications must be submitted on a duly completed new Z83 form. Candidates who apply online must also attach a new Z83 form. The Z83 application form is obtainable from any Public Service Department or on the internet at www.dpsa.gov.za/documents. The new Z83 must be fully completed (please refer to the left side of the Z83 special notes for clarity), it must be initialled and signed. Applicants are not required to submit copies of qualifications and other relevant documents on application but must submit a fully completed Z83 form and a detailed CV. The information on the Z83 must be the same with that of the CV. Only shortlisted candidates will be required/requested to submit certified copies of qualifications and other relevant documents on or before the day of the interview following communication from HR. Failure to submit any of the requested documents will result in the application not being considered. Hardcopy applications must be forwarded to Rahima Moosa Mother and Child Hospital, Admin Building, Cnr. Fuel and Oudtshoorn Street, Coronationville or be posted to Private Bag X20, Newclare 2112. The Provincial Government of Gauteng is committed to the achievement and maintenance of diversity in employment, especially of race, gender, and disability. It is a legislative requirement that all newly appointed staff members be subjected to Personnel Suitability Checks (PSC) – verification, upon appointment within the Department. This verification process entails reference checks, identity verification, qualifications verification, criminal record checks as well as a credit/financial stability check. Successful candidates will be subjected to OHS medical surveillance as required by HBA regulations within the OHS Act 85 of 1993. Correspondence will be limited to shortlisted candidates only.",Department of Health,RAHIMA MOOSA MOTHER AND CHILD HOSPITAL,05-01-2024,"['Do you have an appropriate qualification that allows registration with the HPCSA as a  Medical Specialist in Obstetrics and Gynaecology or recognized sub-speciality?', 'Are you registered with the HPCSA as a Medical Specialist in Obstetrics and Gynaecology?']","Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX74XFoEqsx54g==,refs/019541,Orthopaedics,1,R 627 474.00 per annum (plus benefit),"Ms K.A Kelembe, Tel: (012) 318-6634 / 6930","Grade 12. Basic qualification accredited with South African Nursing Council in terms of Government Notice 425 i.e. Diploma / Degree in Nursing as a Professional nurse or equivalent qualification that allows registration with SANC as a Professional Nurse. A post basic nursing qualification with a duration of 1 year, accredited with SANC in Orthopaedic Nursing Science. A minimum of 9 years appropriate / recognizable experience in nursing after registration as Professional Nurse with SANC in General Nursing, at least 5 years of period referred to above must be appropriate / recognizable experience in Orthopaedic Nursing Science. Current (2023) SANC receipt. Proof of service record for appropriate grading according to OSD policy. Diploma in Nursing Administration / Management will be an added advantage and will be given priority. Computer literacy and driver’s license will be an added advantage. Knowledge of Nursing care processes and procedures, nursing statutes, National Core Standards and other relevant Legal frameworks such as Nursing Act, OHS Act, Patient Right Charter, Batho Pele Principles, Public Service Regulations, Labour Relations Act. SKILLS: Leadership, Organizational, decision making and problem solving abilities within the limit of the public sector and institutional policy framework. Financial and budgetary knowledge pertaining to the relevant resource under management. Insight into the procedures and policies pertaining to nursing care. Ability to interact with diverse stakeholders and givers. Good communication skills (verbal and written). Report writing skills. Interpersonal skills including conflict management and counseling.","Coordination of optimal, holistic specialized nursing care with set standards and within a professional / legal framework. Manage effectively supervision and utilization of resources. i.e.  Human, Material, and monitoring of the   services. Coordination of provision of effective training and research. Maintain professional growth / ethical standards and self-development. Display a concern of patients by promoting, advocating and facilitating proper treatment and care and ensuring that the unit adheres to the Principles of Batho Pele and patient centered nursing care. Ensure clinical nursing practice by the nursing team in accordance with the scope of practice and Nursing Standards. Knowledge of Labour Relations Act and Disciplinary Code and Procedure.","APPLICATIONS MUST BE SUBMITTED PHYSICALLY TO THE HOSPITAL, PLEASE DO NOT APPLY ONLINE. Medical surveillance will be conducted on the recommended applicants, at no cost. People with disabilities are welcome to apply. Applications must be filled on A NEW Z83 FORM EFFECTIVE FROM 1 JANUARY 2021 accompanied by a CV highlighting or stating the requirements mentioned above; and REQUIRED DOCUMENTS NEED NOT BE CERTIFIED WHEN APPLYING FOR A POST, ONLY SHORTLISTED CANDIDATES WILL BE REQUIRED TO SUBMIT CERTIFIED DOCUMENTS ON OR BEFORE THE DAY OF THE INTERVIEW FOLLOWING COMMUNICATION FROM HR. Applicants who do not comply with the above mentioned requirements will not be considered. Applicants must indicate the post reference number on their applications. Failure to submit the required documents will result in the application not being considered. Qualifications of candidates recommended for appointment will be verified. Persons in possession of a foreign qualification must furnish the Department with an evaluation certificate from the South African Qualifications Authority (SAQA). Candidates will be subjected to security screening and vetting process Applications received after closing date will not be accepted. The Department reserves the right to not make an appointment. Candidates will be expected to be available for selection interviews on the date, time and place determined by the Department. Applications must be submitted to: Kalafong Provincial Tertiary Hospital, Human Resource Department, Private Bag X396, Pretoria, 0001. Hand Delivery at Kalafong Security Gate and sign in register book. PLEASE NOTE: The Public Service does not charge any fees for applying for posts.  Should you be asked for a fee, please let the authorities know.",Department of Health,Kalafong Provincial Tertiary Hospital,05-01-2024,[],"Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX4sRGvEzPe9ow==,refs/019542,Nursing Services,11,R293 670 - R337 860 per annum (plus benefits),"Ms K.A Kelembe, Tel: (012) 318-6634 / 6930","Grade 12. Basic R425 qualification, i.e. Diploma/Degree in Nursing as a Professional Nurse or equivalent qualification that allows registration with SANC as a Professional Nurse. Current (2023) SANC receipt. Proof of service record for appropriate grading according to OSD policy. Computer literacy and driver's license will be an added advantage. Demonstrate knowledge and understanding of Nursing Care processes and procedures, nursing statutes, National Core Standards and other relevant Legal Frameworks such as Nursing Act OHS Act, Patient Rights Charter, Batho Pele Principles, Public Service Regulations and Labour Relations Act. SKILLS: Leadership, organizational decision making and problem solving abilities within the limits of the public sector and institutional framework. Financial and budgetary knowledge pertaining to the relevant resources under management. Insight into procedures and policies relevant to Nursing Care. Ability to interact with diverse stakeholders. Good communication skills (verbal and written) and report writing skills. Interpersonal skills including conflict management and counselling.","Provision of optimal, holistic Nursing Care with set standards and within a Professional / legal framework. Manage effectively supervision and utilization of resources, i.e. human, material and monitoring of services. Coordination of provision of effective training and research. Maintain professional growth / ethical standards and self-development. Display a concern for patients by promoting, advocating and facilitating proper treatment / care and ensuring that the unit adheres to Batho Pele Principles and Patient Centered Nursing Care. Ensure clinical Nursing Practice by the Nursing team in accordance with the Scope of Practice and Nursing Standards.","APPLICATIONS MUST BE SUBMITTED PHYSICALLY TO THE HOSPITAL, PLEASE DO NOT APPLY ONLINE. Medical surveillance will be conducted on the recommended applicants, at no cost. People with disabilities are welcome to apply. Applications must be filled on A NEW Z83 FORM EFFECTIVE FROM 1 JANUARY 2021 accompanied by a CV highlighting or stating the requirements mentioned above; and REQUIRED DOCUMENTS NEED NOT BE CERTIFIED WHEN APPLYING FOR A POST, ONLY SHORTLISTED CANDIDATES WILL BE REQUIRED TO SUBMIT CERTIFIED DOCUMENTS ON OR BEFORE THE DAY OF THE INTERVIEW FOLLOWING COMMUNICATION FROM HR. Applicants who do not comply with the above mentioned requirements will not be considered. Applicants must indicate the post reference number on their applications. Failure to submit the required documents will result in the application not being considered. Qualifications of candidates recommended for appointment will be verified. Persons in possession of a foreign qualification must furnish the Department with an evaluation certificate from the South African Qualifications Authority (SAQA). Candidates will be subjected to security screening and vetting process Applications received after closing date will not be accepted. The Department reserves the right to not make an appointment. Candidates will be expected to be available for selection interviews on the date, time and place determined by the Department. Applications must be submitted to: Kalafong Provincial Tertiary Hospital, Human Resource Department, Private Bag X396, Pretoria, 0001. Hand Delivery at Kalafong Security Gate and sign in register book. PLEASE NOTE: The Public Service does not charge any fees for applying for posts.  Should you be asked for a fee, please let the authorities know.",Department of Health,Kalafong Provincial Tertiary Hospital,05-01-2024,[],"Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX7QhooRGA/iLw==,refs/019540,Pharmacy,2,Grade 1 R 370 per hour 	               Grade 2 R 400 per hour                  Grade 3 R 436 per hour,Mr Raj Bhatt 011 470 9044,"Basic qualification accredited with the South African Pharmacy Council (SAPC) that allows registration with the SAPC. Registration with the SAPC as Pharmacist and proof of current registration. Must be a team player, work under pressure, must have good communication and computer skills.
Grade 1: Less than 5 years relevant experience. 
Grade 2: At least 5 years but less than 13 years relevant experience.
Grade 3: 13 years and more relevant experience.

Special Note:
Must be available on Saturdays (3 hrs), Sundays (2 hrs) and public holidays (2Hrs) to provide a weekend service to dispense TTO’s, bed letters (In-patients). In addition, must be available on other weekdays as per needs of the department.","Dispensing of any medicine or scheduled substance on a prescription of a person authorised to prescribe medicine, Furnishing of information and advice to any person with regards to the use of the medicine. Determining the compliance with the therapy and follow up to ensure that the patient’s medicine-related needs are being met. Comply with provincial Standard Operating Procedures and statutory regulations (GPP, GMP, and PFMA incl. cost containment measures), provide comprehensive patient counselling, and liaise with medical / nursing staff on patient problems regarding inappropriate handling and use of medication. Consulting medical officers to ensure compliance of standard treatment guidelines and EML. Promoting the rational medicine use principles, monitoring availability of essential medicines, compounding medicines according to formulae. Ensure safekeeping and security of stock, preventing losses, theft and expiring stock. Compliance to Ideal Hospital Monitoring Framework as applicable to pharmacy. Perform any other duty within scope of practice of a pharmacist as per SAPC.","Applications must be submitted on a duly completed new Z83 form. Candidates who apply online (http://professionaljobcentre.gpg.gov.za) must also attach a new Z83 form. The Z83 form is obtainable from any Public Service Department or on the internet at www.dpsa.gov.za/documents. The new Z83 must be fully completed (please refer to the left side of the Z83 special notes for clarity), it must be initialled and signed. Applicants are not required to submit copies of qualifications and other relevant documents on application but must submit a fully completed Z83 form and a detailed CV. The information on the new Z83 must be the same with that of the CV. Only shortlisted candidates will be required/requested to submit certified copies of qualifications and other relevant documents on or before the day of the interview following communication from HR. Failure to submit any of the requested documents will result in the application not being considered. Hardcopy applications must be forwarded to Rahima Moosa Mother and Child Hospital, Admin Building, Cnr. Fuel and Oudtshoorn Street, Coronationville or be posted to Private Bag X20, Newclare 2112. The Provincial Government of Gauteng is committed to the achievement and maintenance of diversity in employment, especially of race, gender, and disability. It is a legislative requirement that all newly appointed staff members be subjected to Personnel Suitability Checks (PSC) – verification, upon appointment within the Department. This verification process entails reference checks, identity verification, qualifications verification, criminal record checks as well as a credit/financial stability check. Successful candidates will be subjected to OHS medical surveillance as required by HBA regulations within the OHS Act 85 of 1993. Correspondence will be limited to shortlisted candidates only.",Department of Health,RAHIMA MOOSA MOTHER AND CHILD HOSPITAL,08-01-2024,"['Do you have a basic qualification accredited with the South African Pharmacy Council (SAPC) that allows registration with the SAPC as pharmacist?', 'Are you registered with the SAPC as Pharmacist?', 'Do you have proof of current registration?']","Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX5TiUI0e2wqQA==,refs/019547,Reproductive Biology Lab,1,R 359 622.00 per annum plus benefits,Mr. G Boshoff- 012-354 2067/2208,"BSc honours in a relevant field (Reproductive Biology/Physiology/Cell Biology) or BTech (Reproductive Biology) current Independent practice registration at the HPCSA as Medical Biological Scientist or Clinical Technologist, in the category Reproductive Biology.  Skilled in basic theoretical and practical aspects of Assisted Reproductive Technology laboratory procedures including semen processing, embryo culture, micromanipulation and cryopreservation techniques.","Demonstrate a working knowledge in the field of human Assisted Reproductive Technology (ART), including Embryology and Andrology. The candidate will be expected to partake in procedures including (i) Andrology services (semen analyses, sperm processing and decontamination), (ii) human embryo culture (conventional culture and time-lapse culture, micromanipulation, double witnessing), database use and upkeep (including SARA/ANARA); (iii) assist in the practical and theoretical training of Assisted Reproduction interns according to HPCSA regulations and (iv) meet milestone targets, with detailed attention to time management and multi tasking.","Applications should be submitted strictly online at the following E-Recruitment portal: http://professionaljobcenter.gpg.gov.za. No hand-delivered, faxed or emailed applications will be accepted. NB: For assistance with online applications please email your query to e-recruitment@gauteng.gov.za. Application should be accompanied by a fully completed and signed new Z83 application form obtainable from any Public Service Department or on the internet at www.dpsa.gov.za/documents plus a recently updated comprehensive Curriculum Vitae (CV). Applications without proof of a new Z83 application form and detailed CV will be disqualified. Applicants must indicate the post reference number on their applications. (Shortlisted candidates will receive communication from HR to submit certified copies of educational qualifications and other relevant documents not older than 6 months on or before the day of the interview). It is the applicant’s responsibility to have foreign qualifications evaluated by the South African Qualifications Authority (SAQA). All foreign qualification must be accompanied by evaluation certificate from the South African Qualification Authority (SAQA). Correspondence will only be limited to shortlisted candidates. Suitable candidates will be subjected to vetting and personnel pre-employment suitability checks (criminal record, citizenship, credit record checks, qualification verification and employment verification). Where applicable, candidates will be subjected to a skills/knowledge test. Medical Surveillance will be conducted on the recommended candidates. It is Department’s intention to promote representivity (race, gender, and disability) in the Public Service through the filling of these posts. The Department reserves the right not to appoint/fill this post. NB: The Public Service does not charge any fees for applying for posts. Should you be asked for a fee, please let the authorities know. PEOPLE WITH DISABILITY ARE ENCOURAGED TO APPLY.",Department of Health,STEVE BIKO ACADEMIC HOSPITAL,10-01-2024,"['Do you have a BSc honors in Reproductive Biology/Physiology/Cell Biology or Btech (Reproductive Biology)', 'do you have current registration with the HPCSA as and Medical Biological Scientist or clinical Technologist in the category Reproductive Biology?']","Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX46A980865P7w==,refs/019548,INTERNAL MEDICINE,1,Grade 1-3 : R 1 214 805- R 1 605 330 per annum plus benefits,Prof GR Tintinger- 012 354 2112,"Mmed and FCP qualification in Internal Medicine. Proof of registration as an independent Medical Specialist Physician  with the Health Professions Council of South Africa (HPCSA). Not for a sub-specialty fellowship. Proven ability to work with all unit members e.g. Endocrinologists, Nephrologists, Gastroenterologist, Rheumatologists, Pulmonologists, infectious Diseases, Specialist Physicians, Registrars, MO's, Students, Interns and fulfill the University criteria in doing clinical research and teaching pre and post graduate students. Good people skills and be able to take the lead in a team. Continuous education and evaluation in the clinical setting for general Internal Medicine.","In- and Outpatient service delivery in General Internal Medicine: Ward rounds, out-patients clinics, consultation and calls per call roster. Implement and monitor adherence to National core Standards (Norms and Standards). Reduce medical litigations by exercising good clinical ethics. Participation in a multidisciplinary team to manage and care for patients. Ensure that administration, ICD10 coding and record keeping is done. Interview , investigate, diagnose and oversee the  treatment of patients. Supervising and completing Medico-legal documents timeously (e.g. Death certificates). Participation and attendance of Mortality and Morbidity  meetings as well as post graduate meetings. Willing to do commuted overtime rendering of after-hours (night, weekend, and public holiday) duties for general medicine and the Medical ICU. Academic: Training supervision of Registrars, MOs, Interns and Students. Conducting clinical training, ward rounds and giving small group tutorials as well as lectures. Participate in exams of students and Registrars. Act as a guardian for assigned Registrar. Research: Active participation in research and publishing of articles a requirement. This post is not for a sub-specialty fellowship.","Applications should be submitted strictly online at the following E-Recruitment portal: http://professionaljobcenter.gpg.gov.za. No hand-delivered, faxed or emailed applications will be accepted. NB: For assistance with online applications please email your query to e-recruitment@gauteng.gov.za. Application should be accompanied by a fully completed and signed new Z83 application form obtainable from any Public Service Department or on the internet at www.dpsa.gov.za/documents plus a recently updated comprehensive Curriculum Vitae (CV). Applications without proof of a new Z83 application form and detailed CV will be disqualified. Applicants must indicate the post reference number on their applications. (Shortlisted candidates will receive communication from HR to submit certified copies of educational qualifications and other relevant documents not older than 6 months on or before the day of the interview). It is the applicant’s responsibility to have foreign qualifications evaluated by the South African Qualifications Authority (SAQA). All foreign qualification must be accompanied by evaluation certificate from the South African Qualification Authority (SAQA). Correspondence will only be limited to shortlisted candidates. Suitable candidates will be subjected to vetting and personnel pre-employment suitability checks (criminal record, citizenship, credit record checks, qualification verification and employment verification). Where applicable, candidates will be subjected to a skills/knowledge test. Medical Surveillance will be conducted on the recommended candidates. It is Department’s intention to promote representivity (race, gender, and disability) in the Public Service through the filling of these posts. The Department reserves the right not to appoint/fill this post. NB: The Public Service does not charge any fees for applying for posts. Should you be asked for a fee, please let the authorities know. PEOPLE WITH DISABILITY ARE ENCOURAGED TO APPLY.",Department of Health,STEVE BIKO ACADEMIC HOSPITAL,10-01-2024,"['Do you have an Mmed  and FCP qualification in Internal Medicine?', 'Are you registered with the HPCSA as an Independent Medical Specialist Physician?']","Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=dhnOO+xQuX4VCxfnUwgFFw==,refs/019549,OBSTETRICS AND GYNAECOLOGY,1,Grade 1-3 : R 1 214 805- R 1 605 330 per annum plus benefits,Prof P Soma-Pillay: 012-354 2366,"MBChB and FCOG (Obstetrics and Gynaecology) or Mmed (O et G) qualifications and  registration with the Health Professions Council of South Africa (HPCSA) as a Specialist Obstetrician and Gynaecologist. Evidence of post-graduate teaching, research and publications will be an advantage. Other Skills requirement: Strong leadership and Aptitude in problem solving; Proficiency in service-delivery. Good communication and interpersonal skills; Accuracy and attention to detail; Good administration and organizing skills; Ability to work under pressure, independently and self-motivated. 
HPCSA Registration.","The successful candidate will work predominantly in the Urogynaecology and Reproductive, Endocrine and Infertility units of the Department but will be required to assist with general Gynaecology services at Steve Biko Academic Hospital and its referral hospitals. This includes allocation of after-hours services in both Obstetrics & Gynaecology. The post includes teaching and training of under- and post-graduate students in the Department. The successful candidate will be required to participate in the departmental research initiative and in departmental outreach programs","Applications should be submitted strictly online at the following E-Recruitment portal: http://professionaljobcenter.gpg.gov.za. No hand-delivered, faxed or emailed applications will be accepted. NB: For assistance with online applications please email your query to e-recruitment@gauteng.gov.za. Application should be accompanied by a fully completed and signed new Z83 application form obtainable from any Public Service Department or on the internet at www.dpsa.gov.za/documents plus a recently updated comprehensive Curriculum Vitae (CV). Applications without proof of a new Z83 application form and detailed CV will be disqualified. Applicants must indicate the post reference number on their applications. (Shortlisted candidates will receive communication from HR to submit certified copies of educational qualifications and other relevant documents not older than 6 months on or before the day of the interview). It is the applicant’s responsibility to have foreign qualifications evaluated by the South African Qualifications Authority (SAQA). All foreign qualification must be accompanied by evaluation certificate from the South African Qualification Authority (SAQA). Correspondence will only be limited to shortlisted candidates. Suitable candidates will be subjected to vetting and personnel pre-employment suitability checks (criminal record, citizenship, credit record checks, qualification verification and employment verification). Where applicable, candidates will be subjected to a skills/knowledge test. Medical Surveillance will be conducted on the recommended candidates. It is Department’s intention to promote representivity (race, gender, and disability) in the Public Service through the filling of these posts. The Department reserves the right not to appoint/fill this post. NB: The Public Service does not charge any fees for applying for posts. Should you be asked for a fee, please let the authorities know. PEOPLE WITH DISABILITY ARE ENCOURAGED TO APPLY.",Department of Health,STEVE BIKO ACADEMIC HOSPITAL,10-01-2024,"['Do you have an MBChB and an FCOG or Mmed (Obs and Gynae) qualification?', 'Are you registered with the HPCSA as a Medical Specialist Obstetrician and Gynaecologist?']","Due to the large number of applications we envisage receiving, applications will not be acknowledged. If you 
                                                    do not receive any response within 3 months, please accept that your application was not successful."
