job_title,company_name,company_location,salary,job_type,job_description_html,link
General Assistant - BUCO Claremont,The Building Company,"Claremont, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<ul>
<li>Provide customers and drivers with accurately prepared orders Assist with loading and offloading of Vehicles</li>
</ul>
<ul>
<li>To provide prompt and efficient assistance to customers and suppliers with loading and offloading of their vehicles</li>
</ul>
<ul>
<li>To ensure that yard stock items are neatly packed and accessible</li>
</ul>
<ul>
<li>To ensure that vehicles are clean and loaded safely</li>
</ul>
<ul>
<li>To provide prompt and efficient assistance to customers and suppliers regarding workshop/joinery</li>
</ul>
<ul>
<li>Complete Wash Bay activities accurately</li>
</ul>
<ul>
<li>To ensure that store shelves, boards and other stock items are neatly packed and accessible for customers</li>
</ul>
<ul>
<li>To uphold and promote the company values and culture</li>
</ul>
</div>
<br/>
<div>
<p>Grade 12</p>
<p> Product knowledge</p>
</div></div>",https://za.indeed.com/rc/clk?jk=ae25b6101c13a680&bb=EhgEc6c2fBOIxt2V37Ve5Q3mAzTYU86n-R-8u38viCC2HRJ1asGtTKvMFg2su3KDHKYHy-MCQRdJ6Ypxg-dY0aSnE91pHktcUkyoAznskmQ%3D&xkcb=SoAk67M3G_OKDyxZZh0LbzkdCdPP&fccid=08050b38057a0742&vjs=3
Cosmetics Consultant - Kenilworth - Cape Town,Dis-Chem Pharmacies Limited,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
 Dis-Chem Pharmacies' requires the committed services of a customer-oriented Cosmetics Consultant for their Store in Kenilworth Centre, Cape Town. You will be tasked with the effective promoting and selling of Dis-Chem cosmetic and beauty products, through excellent and consistent customer service.
 <p><b><br/> Essential:</b></p>
<ul>
<li> Grade 12 / Matric</li>
<li> Retail experience as a sales consultant</li>
<li> Computer literate</li>
<li> Willing and able to work retail hours</li>
</ul>
<p><b> Advantageous:</b></p>
<ul>
<li> Cosmetic, fragrance and/or beauty experience</li>
</ul>
<p><b><br/> Job Description:</b></p>
<ul>
<li> Escalate serious and unresolved customer complaint to the manager</li>
<li> Provide a high level of customer care and service</li>
<li> Demonstrate products through makeovers, cosmetics demonstration, spray promotions and/or activities</li>
<li> Manage stock levels according to Dis-Chem procedures – report on short, damage and expired stock to manager</li>
<li> Ensure merchandising and displays are set up attractively</li>
<li> Maximise store income by achieving department, brand and vendor sales</li>
<li> Keep up to date regarding products, brands and the retail industry</li>
<li> Be responsible for all cosmetics, fragrances and beauty house promotions</li>
<li> Manage Salon appointments</li>
<li> Adhere to Dis-Chem policies and procedures, SOPs and health and safety rules and regulations</li>
</ul>
<p><b><br/> Competencies:</b></p>
<p><b> Essential:</b></p>
<ul>
<li> Strong command of English (written and oral)</li>
<li> Be a team player</li>
<li> Provide excellent customer service</li>
<li> Understand stock reports and sales (target and commission calculations)</li>
<li> Work according to a task schedule</li>
</ul>
<p><b> </b><b>Advantageous:</b></p>
<ul>
<li> Promotions, personal selling, sales targets, customer liaison and product knowledge</li>
<li> Previous sales and promotional training</li>
<li> Manage expired, damaged stock, and ensure stock rotation</li>
<li> Bilingual</li>
<li> Stock management</li>
</ul>
<p><b><br/> Special conditions of employment:</b></p>
<ul>
<li> Willing and able to work retail hours</li>
<li> Valid driver’s license and own reliable transport</li>
<li> South African citizen</li>
<li> Clear credit and criminal records</li>
</ul>
<p><b><br/> Remuneration and benefits:</b></p>
<ul>
<li> Market-related salary</li>
<li> Medical aid</li>
<li> Provident fund</li>
<li> Staff account</li>
</ul>
<p></p>
<p><b><br/> ONLY SUCCESSFUL APPLICANTS WILL BE CONTACTED. IF YOU HAVEN`T BEEN CONTACTED WITHIN TWO WEEKS AFTER THE CLOSING DATE, PLEASE CONSIDER YOUR APPLICATION AS UNSUCCESSFUL.</b></p>
<p><b><br/> Dis-Chem Pharmacies is an equal opportunity employer. Dis-Chem’s approved Employment Equity Plan and Targets will be considered as part of the recruitment process aligned to Dis-Chem’s Employment Equity &amp; Transformation Strategy. Dis-Chem actively supports the recruitment of People with Disabilities.</b></p>
</div></div>",https://za.indeed.com/rc/clk?jk=217b4cd6edef90d3&bb=EhgEc6c2fBOIxt2V37Ve5Uwci2vn1cvJukp1G_qAPA0R7Ks_C4JD5-s66A1c0OBx1lLFSrshCxBlVyptq6p5LdlEWuB1qW4QMuC9h6n24EE%3D&xkcb=SoCQ67M3G_OKDyxZZh0KbzkdCdPP&fccid=8d00282703ea7d0d&vjs=3
Casual Store Cleaner - Brackenfell - Cape Town,Dis-Chem Pharmacies Limited,"Cape Town, Western Cape",,Part-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<p>Dis-Chem Pharmacies requires an experienced Casual Store Cleaner for their Brackenfell Corner - Brackenfell store. You will be responsible to maintain a clean and neat store, by Dis-Chem’s hygienic standards. The areas will include the store floor, stock room, dispensary, admin office and canteen.</p>
<p><b><br/> Minimum Requirements:</b><br/> <b>Essential:</b></p>
<ul>
<li> Grade 12 / Matric</li>
<li> A minimum of 6 months cleaning experience</li>
<li> Sound command of the English language</li>
<li> Basic customer service</li>
<li> Additional language that is area specific</li>
<li> Willing and able to work retail hours</li>
</ul>
<p></p>
<p><b><br/> Advantageous:</b></p>
<ul>
<li> Bilingual</li>
<li> Previous retail store cleaning experience</li>
</ul>
<p></p>
<p><b><br/> Job Description:</b></p>
<ul>
<li> Provide a daily high standard of hygiene and cleanliness throughout the store, shop floor and communal areas, before the store opens.</li>
<li> Develop routines to ensure all areas of the store are maintained to a high standard of cleanliness.</li>
<li> Ensure the canteen and restrooms are clean, and stocked with the necessary products at all times.</li>
<li> Be available throughout operational hours to clean up as and when required.</li>
<li> Ensure correct cleaning products and equipment are used for specific jobs.</li>
<li> Ensure the wet floor sign is up and visible at both ends, when cleaning the floor.</li>
<li> Be friendly, professional and able to assist customers.</li>
<li> Perform duties according to Health and Safety Regulations.</li>
</ul>
<p></p>
<p><b><br/> Competencies</b><br/> <b>Essential:</b></p>
<ul>
<li> Prior cleaning experience</li>
<li> Sound command of English (written and oral)</li>
<li> Customer service</li>
<li> Trustworthy and honest</li>
<li> Attention to detail</li>
<li> Presentable</li>
<li> Be able to take instructions and follow through</li>
<li> Time management</li>
</ul>
<p></p>
<p><b><br/> Advantageous:</b></p>
<ul>
<li> Prior retail store cleaning experience</li>
<li> Bilingual</li>
</ul>
<p></p>
<p><b><br/> Special conditions of employment:</b></p>
<ul>
<li> Willing and able to work retail hours</li>
<li> Able and physically fit for walking, standing, climbing, kneeling, bending, and pushing, pulling lifting and moving objects</li>
<li> Reliable transport and/or reside in close proximity to the store</li>
<li> South African Citizen</li>
<li> Clear credit and criminal records</li>
</ul>
<p></p>
<p><b><br/> Remuneration and benefits:</b></p>
<ul>
<li> Market related salary</li>
</ul>
<p></p>
<p><b><br/> ONLY SUCCESSFUL APPLICANTS WILL BE CONTACTED. IF YOU HAVEN`T BEEN CONTACTED WITHIN TWO WEEKS AFTER THE CLOSING DATE CONSIDER YOUR APPLICATION AS UNSUCCESSFUL.</b></p>
<p></p>
<p><b><br/> Dis-Chem Pharmacies is an equal opportunity employer. Dis-Chem’s approved Employment Equity Plan and targets will be considered as part of the recruitment process aligned to Dis-Chem’s Employment Equity &amp; Transformation Strategy. Dis-Chem actively supports the recruitment of People with Disabilities.</b></p>
</div></div>",https://za.indeed.com/rc/clk?jk=233b4953c0f40290&bb=EhgEc6c2fBOIxt2V37Ve5XnpolKXnMv6_iEcEwyKWgSe9GtRyiERyuM6mB0Wn44-20RfB8B0wEm_NMWSp1EDuAXRURpCcTgRzsd5YKOXM3s%3D&xkcb=SoAN67M3G_OKDyxZZh0JbzkdCdPP&fccid=8d00282703ea7d0d&vjs=3
Casual Merchandiser - Kenilworth - Cape Town,Dis-Chem Pharmacies Limited,"Cape Town, Western Cape",,Part-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
 Dis-Chem Pharmacies requires a Casual Merchandiser for their Kenilworth store in the Western Cape Region. You will ensure that basic Dis-Chem merchandising standards are properly executed and maintained. Your responsibilities will also lie in providing excellent customer service.
 <br/>
<br/>
<b>Minimum Requirements</b>:
 <p><b><br/> Essential:</b></p>
<ul>
<li> Grade 12 / Matric</li>
<li> Up to 6 months’ retail experience</li>
<li> Computer literate – MS Office</li>
<li> Willing and able to work retail hours</li>
</ul>
<p><b> Advantageous:</b></p>
<ul>
<li> At least 1 year retail experience</li>
</ul>
<p><b><br/> Job Description:</b></p>
<ul>
<li> Restock merchandise as needed to ensure maximum sales</li>
<li> Ensure delivered stock/stock pulled from the storeroom, is stored and packed in the correct space timeously</li>
<li> Ensure stock on shelves has not reached sell-by date</li>
<li> Ensure the full range of products is on the shelves at all times</li>
<li> Facilitate rotation of stock on a regular, FIFO basis</li>
<li> Report low stock levels, out-of-stock items, damaged stock and expired stock to management</li>
<li> Assist with counting of stock files and general stocktaking</li>
<li> Adhere to Dis-Chem’s operating standards, store layout and planograms</li>
<li> Ensure boxes are flattened after unpacking stock, and taken to the designated area</li>
<li> Ensure front shop shelves and products are neatly presented and visible at all times, with correct labels and pricing</li>
<li> Report all price discrepancies to management</li>
<li> Keep abreast of current and new products</li>
<li> Ensure merchandising displays are built, faced up, stocked and maintained</li>
<li> Maintain daily physical upkeep of store and merchandise displays, and be responsible for your designated stock in the storeroom as well as on the shop floor</li>
<li> Assist with loading and off-loading of stock</li>
<li> Ensure items without barcodes are clearly marked</li>
<li> Assist with back shopping</li>
<li> Assist in training of new staff</li>
<li> Provide friendly, helpful and courteous assistance and advice to all customers</li>
<li> Ensure all out of stock queries from customers are followed up with the customer service out of stock list</li>
<li> Ensure all customer stock queries are dealt with and resolved</li>
<li> Ensure the correct uniform and badge are worn at all times</li>
<li> Minimise any losses by handling all merchandise carefully</li>
<li> Adhere to Dis-Chem policies and procedures, SOPs and health and safety rules and regulations</li>
</ul>
<p><b><br/> Competencies:</b></p>
<p> Essential:</p>
<ul>
<li> Strong command of the English language</li>
<li> Presentable</li>
<li> Effective engagement with customers, management and staff</li>
<li> Trustworthy and honest</li>
<li> Time management</li>
</ul>
<p> Advantageous:</p>
<ul>
<li> Bilingual</li>
<li> Knowledge of merchandising standards and the FMCG industry</li>
<li> Product and category knowledge</li>
<li> Ability to analyse ZMORE reports for ordering and stock taking</li>
<li> Report bad/suspicious behaviour relating to both staff and customers</li>
</ul>
<p><b><br/> Special conditions of employment:</b></p>
<ul>
<li> Willing and able to work retail hours</li>
<li> Able and physically fit to lift and move heavy boxes, and ensure health and safety standards are adhered to</li>
<li> Reliable transport and/or reside in close proximity to the store</li>
<li> South African citizen</li>
<li> Clear credit and criminal records</li>
</ul>
<p><b><br/> Remuneration and benefits:</b></p>
<ul>
<li> Market-related salary</li>
</ul>
<p></p>
<p><b><br/> ONLY SUCCESSFUL APPLICANTS WILL BE CONTACTED. IF YOU HAVEN`T BEEN CONTACTED WITHIN TWO WEEKS AFTER THE CLOSING DATE, PLEASE CONSIDER YOUR APPLICATION AS UNSUCCESSFUL.</b></p>
<p><b><br/> Dis-Chem Pharmacies is an equal opportunity employer. Dis-Chem’s approved Employment Equity Plan and Targets will be considered as part of the recruitment process aligned to Dis-Chem’s Employment Equity &amp; Transformation Strategy. Dis-Chem actively supports the recruitment of People with Disabilities.</b></p>
</div>
<p></p></div>",https://za.indeed.com/rc/clk?jk=11b02cb1c4f16847&bb=EhgEc6c2fBOIxt2V37Ve5XnpolKXnMv6kP7K298f_161T4aimuL-r-DRebcDopaVCt565ggepbuEK3B2AXgzEOe-s68CGnOg2kCbJ2_MAoQ%3D&xkcb=SoC567M3G_OKDyxZZh0IbzkdCdPP&fccid=8d00282703ea7d0d&vjs=3
General Assistant - BUCO Tokai,The Building Company,"Tokai, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<ul>
<li>Provide customers and drivers with accurately prepared orders Assist with loading and offloading of Vehicles</li>
</ul>
<ul>
<li>To provide prompt and efficient assistance to customers and suppliers with loading and offloading of their vehicles</li>
</ul>
<ul>
<li>To ensure that yard stock items are neatly packed and accessible</li>
</ul>
<ul>
<li>To ensure that vehicles are clean and loaded safely</li>
</ul>
<ul>
<li>To provide prompt and efficient assistance to customers and suppliers regarding workshop/joinery</li>
</ul>
<ul>
<li>Complete Wash Bay activities accurately</li>
</ul>
<ul>
<li>To ensure that store shelves, boards and other stock items are neatly packed and accessible for customers</li>
</ul>
<ul>
<li>To uphold and promote the company values and culture</li>
</ul>
</div>
<br/>
<div>
<p>Grade 12</p>
<p> Product knowledge</p>
</div></div>",https://za.indeed.com/rc/clk?jk=441c95fb8e12bf18&bb=EhgEc6c2fBOIxt2V37Ve5XSKnu0lVt6QBFuHD963U-8pPlrZlmbJEaa6s5gqigK6SkHQzcF8R2OUFQRSZk8BGMBJEhC6y_wCwIrZNoyAK7A%3D&xkcb=SoA367M3G_OKDyxZZh0PbzkdCdPP&fccid=08050b38057a0742&vjs=3
Assistant Store Manager - Cotton On Canal Walk Shopping Centre,Cotton On Group,"Cape Town, Western Cape",,Full-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<p>Be Who You Are. Love What You Do. </p>
<p>We’re an Aussie brand with our feet on the ground and our heart in our people. </p>
<p>Option 1 – 365: Bringing you a brand new opportunity at &lt;Brand&gt; &lt;Location&gt;. </p>
<p>Option 2 – New store openings: Bringing you a brand new &lt;Brand&gt; store for &lt;Location&gt;. </p>
<p>Option 3 – Refurb/relocation stores: Bringing you a new and improved &lt;Brand&gt; store for &lt;Location&gt;.<br/> </p>
<p></p>
<p><b>Benefits </b></p>
<p>· Competitive base salary + super </p>
<p>· Local and Global career growth – progress your career across our 7 Brands </p>
<p>· 50% off Cotton On Group Brands | Cotton On, Cotton On Body, Cotton On Kids, Rubi Shoes, Typo, Factorie and Supre </p>
<p>· Wellness support 24/7 – mental health, relationships, family + more </p>
<p>· Discounts for you and your family - medical, travel, financial + more </p>
<p>· Paid Parental Leave program – helping parents return to the workplace<br/> </p>
<p></p>
<p><b>The Role </b></p>
<p>Assistant Store Managers support the Store Manager and enable their team to create great experiences for our customer and drive business outcomes for your store. </p>
<p>· Work with your Manager to build a culture of development which inspires and engages the team, creates future leaders and high performance </p>
<p>· Embed customer excellence whilst growing your business through clear direction and operational excellence </p>
<p>· Bring your commercial eye to the store, spot trade opportunities, and find solutions to improve the customer experience and store results </p>
<p>· Support your Store Manager to manage store schedules and wages effectively to achieve productivity and wage targets </p>
<p>· Advocate for the Cotton On Group Foundation, engaging the team on how they can make life changing impact on our projects around the world<br/> </p>
<p></p>
<p>It’s more than a job. It’s about making a positive difference in everything we do.<br/> </p>
<p></p>
<p><b>Who are we? </b></p>
<p>A diverse team of 20,000 around the world who love to think Big and have fun along the way. We develop, reward and recognise our team members, so they can feel empowered to reach their full potential. We know life’s more fun when you’re free to be you and our team bring their point of difference, making us into the unique global retailer we are today. </p>
<p>Being You can take you places at the Cotton On Group. Join us and let’s do good things together.<br/> </p>
<p></p>
<br/>
<p><i>At Cotton On, we are focused on building a culture centred in belonging, and we are committed to creating workplaces where each individual can show up as their whole self, having an equal opportunity to succeed with us. </i></p>
<p><i>We are proud of our diverse global workforce of 20,000 team members from countless nationalities, and we strongly welcome and encourage individuals of all backgrounds to apply with us. </i></p>
<p><i>We are focused on bringing more voices, experiences and backgrounds to our workforce as we drive diverse and inclusive outcomes for our team and our customers. </i></p>
<p><i>If you have any individual needs in order to fully participate in the recruitment process, please contact us at </i><i>careers@cottonon.com.au </i><i>so we may support you in completing the job application process.</i></p>
</div>
<p></p>
<br/>
<div></div>ABOUT US 
<br/>
<div></div>ABOUT THE TEAM</div>",https://za.indeed.com/rc/clk?jk=92ac262c3d60dd37&bb=EhgEc6c2fBOIxt2V37Ve5aku5kcXCgH9Aa6ibtJ06flpEs4QMsW2mEydkiGvRTMjV8111niW2hQ8AezmyIUiXMoBh0PbMNd-OSo9zjBdB6g%3D&xkcb=SoCD67M3G_OKDyxZZh0ObzkdCdPP&fccid=6db4ddb1c226f4f3&vjs=3
Learnership - B4A Cape Town,The Building Company,"Cape Town, Western Cape",,Part-time,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
 An exciting opportunity for a Graduate! Are you recently qualified and struggling to get your foot in the door? Are you looking for workplace experience? If your answers to these questions are YES, then this is the opportunity for you. The graduate will be given a 12 month internship contract with The Building Company. This valuable work place experience opportunity will prepare you for future careers opportunities.
 <br/>
<ul>
<li>Living and promoting the Company values by always performing duties with:</li>
<li>Honesty</li>
<li>Respect</li>
<li>Accountability</li>
<li>Resourcefulness</li>
<li>Energy - Living and displaying the company culture through behaviours such as:</li>
<li>customer centricity</li>
<li>effective self-management and teamwork</li>
</ul>
</div>
<br/>
<div>
 Learners should be South African Citizens
 <br/>
<ul>
<li>Below the age of 35</li>
<li>Have a matric certificate</li>
<li>Have limited work experience</li>
<li>Have not participated in a W&amp;R SETA learnership before Any of the following skills will be an advantage:</li>
<li>Computer Knowledge (MS Office)</li>
<li>Excellent communication and Interpersonal skills</li>
<li>Attention to detail</li>
<li>Planning/organizing skills</li>
<li>Ability to work under pressure</li>
<li>Ability to meet deadlines</li>
</ul>
</div></div>",https://za.indeed.com/rc/clk?jk=c22607de38fd894c&bb=EhgEc6c2fBOIxt2V37Ve5T-a5HGYZtTCkpjNfLV3pHp9aNK8xYbFqUYqnFugdTjZAZJ-yU4mYsEBgoaOiFytJvuVWFuOnqLLVOhblrxWnrQ%3D&xkcb=SoAe67M3G_OKDyxZZh0NbzkdCdPP&fccid=08050b38057a0742&vjs=3
General Assistant - Corporate,Tsebo Group,"Cape Town, Western Cape",,,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><div>
<h3 class=""jobSectionHeader""><b>About Us</b></h3>
<p> We are recruiting a General Assistant to join our team. The General Assistant assists the Cooks and Chefs with food productions, operates the cash register, serves food, and keeps the canteen and kitchen clean.</p>
<p> As a leading African Integrated Workplace Management Solutions Provider, Tsebo Solutions Group offers clients <b>reduced costs, risk and complexities</b> together with <b>increased quality, efficiency and productivity</b>. We specialise in <b>Catering</b>, <b>Facilities Management</b>, <b>Cleaning and Hygiene</b>, <b>Pest Control</b>, <b>Protection</b>, <b>Energy</b>, <b>Procurement</b>, <b>Workspace Design</b>, <b>Engineering, Remote Camps</b>, and more. <b>Developing our people </b>– the heart of Tsebo – is the foundation of our purpose. The result is a knowledgeable workforce that is in touch with every nuance of our clients’ needs. <b>DOWNLOAD OUR ONE-PAGER</b> to find out more about who we are in a nutshell.</p>
<p> TSEBO has 52 years of experience of catering to all segments across society. The successful incumbent should have extensive client interaction as well as operational experience.</p>
<h3 class=""jobSectionHeader""><b> Duties &amp; Responsibilities</b></h3>
<ul>
<li>To ensure that the Company &amp; Statutory regulations regarding cleanliness &amp; hygiene are complied with within all tasks undertaken.</li>
<li>To ensure that the quality standards of both customer service and operating processes, health and safety standards and food standards are met.</li>
<li>Assists in the preparation of meals, especially salads and desserts.</li>
<li>Places entrees, salads, desserts and other food on the serving line.</li>
<li>Keeps the serving line well-stocked and clean.</li>
<li>May assist in training new employees.</li>
<li>Stores and records food leftovers.</li>
<li>Keeps canteen tables, kitchen and other areas clean and orderly.</li>
<li>To ensure that customer expectations are met within the provisions of the contract.</li>
<li>To ensure a high level of customer service within the area of responsibility.</li>
<li>Where applicable, to ensure that stock in the designated area of responsibility is counted and signed over to the correct staff on the following shift.</li>
<li>To carry out any reasonable request by management.</li>
<li>To report and where possible take action when faced with customer and client complaints or compliments.</li>
<li>To attend meetings and training courses as may be necessary.</li>
<li>Performs related work as assigned.</li>
</ul>
<h3 class=""jobSectionHeader""><b>Skills and Competencies</b></h3>
<ul>
<li>Must enjoy practical and methodical work</li>
<li>Be honest and reliable</li>
<li>Have good hand-eye coordination</li>
<li>Be able to work quickly and safely</li>
<li>Have good personal hygiene</li>
<li>Be free from skin allergies to foods and detergents</li>
<li>Have good communication skills</li>
<li>Must be able to work as part of a team.</li>
<li>Must have the stamina to work 45-50 hours per week.</li>
<li>Be able to bend, stand and lift.</li>
</ul>
<h3 class=""jobSectionHeader""><b>Qualifications</b></h3>
<p> Be 18 years of age Must have completed at least a Nationa Senior Certficate</p>
</div></div>",https://za.indeed.com/rc/clk?jk=dfa41b1cfe2a462a&bb=EhgEc6c2fBOIxt2V37Ve5SdKKrsDtZDlFnH4pVxEddq5CG7E1b8f45CQOWHPHNi62ksOZvr43XD-ITS3Gqlihc0Nngu7SO6OAUMcDuQ-s5o%3D&xkcb=SoCq67M3G_OKDyxZZh0MbzkdCdPP&fccid=22ef3c404c4cf27c&vjs=3
RECEPTIONIST,Hirt & Carter,"Cape Town, Western Cape",,,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText""><p></p>
<div>
<div>
<div>
<p><b><i>RECEPTIONIST </i></b><br/> <b><i>HIRT &amp; CARTER </i></b></p>
<p><b><i>CAPE TOWN<br/> </i></b><br/> </p>
<p><b><i>CORE PURPOSE OF THE JOB: </i></b><br/> The Receptionist will manage the reception area and assist with all administrative tasks. The incumbent will handle <br/> front of house and be responsible for all administrative tasks related to the managing of the office and executive <br/> team.<br/> </p>
<p></p>
<br/>
<p><br/> <br/> <b><i>KEY PERFORMANCE AREAS:</i></b> </p>
<ul>
<li>Ensure that all calls are promptly routed to the correct destination </li>
</ul>
<ul>
<li>Ensure that the workstation and all client facing areas are well presented </li>
</ul>
<ul>
<li>Management all boardroom bookings </li>
</ul>
<ul>
<li>Ordering and managing of office consumables and catering requests </li>
</ul>
<ul>
<li>Coordination of local travel arrangements and client meetings </li>
</ul>
<ul>
<li>Assist with health and safety issues as per company policies and procedures<br/> </li>
</ul>
<p><br/> <br/> <br/> <b><i>QUALIFICATIONS / EXPERIENCE:</i></b> </p>
<ul>
<li>Relevant tertiary qualification will be beneficial, matric is a minimum requirement with at least 2 - 3 years’ </li>
</ul>experience in Office Administration 
   <ul>
<li>High level understanding of MS Office Suite </li>
</ul>
<ul>
<li>Intermediate computer skills<br/> </li>
</ul>
<p><br/> <br/> <br/> <b><i>BEHAVIOURS &amp; ATTRIBUTES: </i></b></p>
<ul>
<li>Strong administrative and communication skills </li>
</ul>
<ul>
<li>Highly organised and systematic in approach </li>
</ul>
<ul>
<li>Attention to detail </li>
</ul>
<ul>
<li>Ability to work under pressure and multiple deadlines </li>
</ul>
<ul>
<li>Team player<br/> </li>
</ul>
<br/>
<br/>
<br/>
<p>The advert has minimum requirements listed. <br/> Management reserves the right to use additional / relevant information as criteria </p>
<p><b>Email: careers@hcg.one</b> <br/> <b>Closing date for applications is Friday, 19 January 2024.</b></p>
</div>
</div>
</div>
<p></p></div>",https://za.indeed.com/rc/clk?jk=bc759b4cc65749db&bb=EhgEc6c2fBOIxt2V37Ve5Qoq_zpcroMuAQMijL5qKPseyn9HhuqwLZlYhd8FQXTUQkzeXr8M10xr4Ixjt5-hLcCXEaCOJJYyj9eknfRGcpk%3D&xkcb=SoBD67M3G_OKDyxZZh0DbzkdCdPP&fccid=aca95f464d85c32c&vjs=3
Security Officer - 5* Luxury Estate - Stellenbosch,Hospitality Jobs Africa,"Cape Town, Western Cape",R6 400 - R6 401 a month,-Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-1x2lix0 eu4oa1w0"" id=""jobDescriptionText"">Monitor and control access to the premises 
<br/>
<br/> Conduct regular patrols to ensure the security of the property 
<br/>
<br/> Respond promptly to alarms and incidents 
<br/>
<br/> Collaborate with other security personnel to maintain a cohesive security operation 
<br/>
<br/> Report any suspicious activities or security concerns 
<br/>
<br/> Proven experience as a Security Officer 
<br/>
<br/> Relevant security training and certifications 
<br/>
<br/> Excellent observation and communication skills 
<br/>
<br/> Ability to remain calm and composed in challenging situations 
<br/>
<br/> Basic computer skills for report writing 
<br/>
<br/> Physical fitness for regular patrols 
<br/>
<br/> Between 1 - 3 Years</div>",https://za.indeed.com/rc/clk?jk=5d1422a7c10176f1&bb=EhgEc6c2fBOIxt2V37Ve5eKUDu18LdLjwEEsQh2CgBtttnYil_dXfouI7BmxSMe7Vz2CQ5meCZjmKRAIVqopd6pVqP_VZaH5sxYvU5aNvCA%3D&xkcb=SoD367M3G_OKDyxZZh0CbzkdCdPP&fccid=47c8e42bc369fd2c&vjs=3
